80
80
S                                                   S
1               1                                   1
1@             A1   F    2222222221                 1
S        S     11                 1                 1
1A              1        2     F  1                 1
11              1        A        1                 1
1A     11111    1        2        1                 1
11            111   F             1                 1
1A              1        2        1                 1
11   P          1                 1                 1
1A S       S    1        2    F   1                 1
11            111        A        1                 1
1A     S     S  1        2        11               11
11              1                 111             111
1A P            1        2        1111           1111
S         S              P        11111         11111
S                                      SEEEEEEES    S
