80
80
S                                        S
1      1                                 E
1@     1                                 E
1111   1                             22221
1      1                                 S
1      1                  A    2222       
1      1              22222               
1      1         2                        
1      1       2                          
1      1     2                            
1      1   A               222            
1      12222                       2      
1      1         A                        
1      1      22222                     2 
1      1                          22      
1      1           F           2          
1      1                                  
1      1               222222             
1      1    A                             
1      1    22222222                      
1      1                                  
1      1                 22222            
1                                A        
1                                222      
1        P                               S
S                                        S
